country,cluster group,policy type,policy detail,Reference
India,red,lockdown,"While the lockdown has been effective, our model suggests that completely ending the lockdown after three weeks could have considerable adverse public health ramifications.",https://crcs.seas.harvard.edu/publications/evaluating-covid-19-lockdown-policies-india-preliminary-modeling-assessment
India,red,mask,"Masks will continue to be required in certain indoor places in Italy.",https://www.channelnewsasia.com/singapore/flexible-work-arrangements-work-home-covid-19-workplace-rules-eased-tripartite-guidelines-2643036
India,red,wfh,"Government departments have announced an office attendance rate of 50%. The private sector is also asking its employees to work from home. Cognizant, Amazon, Flipkart and other IT companies have once again adopted working from home and believe all employees will be back in the office. However, most workers are not ready to return to the office again",https://www.indiatoday.in/education-today/jobs-and-careers/story/work-from-home-2022-why-indian-employees-don-t-want-to-return-at-their-workplaces-1903391-2022-01-23
Israel,light blue,lockdown,"Israel has reinstated some virus restrictions such as wearing masks and vaccinations to avoid a full lockdown.",https://www.nytimes.com/2021/08/04/world/israel-covid-restrictions-lockdown.html
Israel,light blue,mask,"Prime Minister Naftali Bennett announced that Israel will keep its indoor mask mandate in place for at least another month
Israel Lifts Indoor Mask Mandate as Coronavirus Cases Drop.","https://www.timesofisrael.com/covid-numbers-continue-their-rise-amid-fears-of-resurgent-pandemic/  
"
Israel,light blue,wfh,"Israel called on employers to switch to a work-at-home footing and tightened travel restrictions as new cases of coronavirus climb, warning that it may have to impose lockdowns.",https://www.bloomberg.com/news/articles/2021-08-04/israel-urges-work-at-home-as-cases-climb-warns-over-lockdowns
Italy,dark blue,lockdown,"the government of Italy's Prime Minister Giuseppe Conte imposed a nationwide lockdown or quarantine in response to the country's growing COVID-19 pandemic, restricting restrictions except for essential, work and health Movement of people outside the context. Additional lockdown restrictions require the temporary closure of non-essential shops and businesses.",https://www.pnas.org/doi/10.1073/pnas.2019617118
Italy,dark blue,mask,"The Italian authorities announced that  travellers are no longer required to wear a face mask when accessing bars, restaurants, museums, and supermarkets",https://www.schengenvisainfo.com/news/tourists-to-be-able-to-enjoy-their-trip-to-italy-more-as-mask-requirement-is-abolished/
Italy,dark blue,wfh,"strict lockdown, schools closed and stringent restrictions will apply, effective immediately. remote working is now the priority and employees should be invited to go to the office only where strictly necessary;",https://www.simmons-simmons.com/en/publications/ckh3mbdvv151g0a03z6mgt3dr/covid-19-decree-brings-strict-restrictions-for-italy
Japan,red,lockdown,"The Japanese government does not have the authority to enforce citywide lockdowns.Apart from individual quarantine measures, officials cannot restrict the movement of people to contain the virus.",https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Japan
Japan,red,mask,"TOKYO (Kyodo) -- Wearing masks outdoors to protect against the coronavirus is not necessary providing social distancing is practiced, Japan's top government spokesman said, with the approach of summer increasing the risk of heatstroke.",https://asia.nikkei.com/Spotlight/Coronavirus/Japan-says-masks-not-needed-outdoors-if-distancing-maintained
Japan,red,wfh,"Researchers have a more nuanced understanding of why Japan is rejecting remote work. They cite the unstructured nature of white-collar jobs in Japan, the failure of businesses to embrace technology, and an epidemic of ""attendanceism"" that has plagued the country longer than the coronavirus.",https://fortune.com/2021/06/13/japan-covid-work-from-home-corporate-culture/
Netherlands,light blue,lockdown,"Given the rising rate of coronavirus infections, the government is now asking everyone to work from home unless it is not possible to do so. This is ""urgent advice"" so there will be no consequences if people/employers don't follow it, but most people are expected to follow.",https://www.simmons-simmons.com/en/publications/ckk2f4e4e17ch0933ifsradrd/covid-19-netherlands-lockdown-measures-extended
Netherlands,light blue,mask,"Bars, restaurants and nightclubs will go back to pre-pandemic opening hours and face masks will not be mandatory in most places, says health minister.",https://www.service-public.fr/particuliers/actualites/A15543?lang=en
Netherlands,light blue,wfh,"Even though the Dutch government continues to advise people with jobs in the Netherlands to work from home as much as possible, new research has revealed that at the end of 2021, 75 percent of workers had already returned to the office.",https://www.iamexpat.nl/career/employment-news/majority-employees-return-office-despite-home-working-advice
Qatar,red,lockdown,"Both the government and authorities are encouraging physical distancing and home isolation measures, discouraging social gatherings, and closing schools, gyms and shopping centres",https://journals.lww.com/joem/Fulltext/2022/02000/The_Impact_of_Changes_in_Work_Arrangements_During.15.aspx
Qatar,red,mask,"After reviewing a report the Supreme Committee for Crisis Management regarding the plan to gradually lift the restrictions imposed as a result of the Corona pandemic, the cabinet decided to ease the restrictions further including removing the mask mandate inside the malls, but it is still required inside the shops.",https://thepeninsulaqatar.com/article/30/03/2022/no-need-of-masks-inside-malls-qatar-eases-covid-19-restrictions
Qatar,red,wfh,Many organizations and agencies in qatar encourage their employees to work from home (WFH) to stay safe.,https://journals.lww.com/joem/Fulltext/2022/02000/The_Impact_of_Changes_in_Work_Arrangements_During.15.aspx
Russia,red,lockdown,"The Russian government has no plans to introduce new coronavirus-related restrictions at the moment, a lockdown is ruled out.Some restrictions may even be cancelled due to peculiarities of the omicron. Therefore, for citizen the attention of lockdown and new cases are rare.",https://tass.com/society/1397555?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
Russia,red,mask,"Moscow Mayor Sergei Sobyanin says the mandatory wearing masks in public places will be lifted in the city as, while a ban on public gatherings and demonstrations introduced two years ago as part of coronavirus precautions will remain.",https://www.rferl.org/a/moscow-end-mandatory-masks/31752548.html
Russia,red,wfh,"The mayor of Moscow announced plans to reintroduce remote work, mandatory vaccinations for service workers and other measures starting next week to slow the spread of a fourth wave of the coronavirus pandemic.",https://www.themoscowtimes.com/2021/10/19/moscow-returns-remote-work-other-measures-amid-resurgent-pandemic-wave-a75340
Saudi Arabia,red,lockdown,"For the third time, the government has placed the capital and several other areas under strict lockdown.",https://www.frontiersin.org/articles/10.3389/fpubh.2021.736942/full
Saudi Arabia,red,mask,"Saudi Arabia will lift almost all Covid-19 restrictions, effective, after the progress of the national vaccination program and high overall rates of immunity.",https://www.bloomberg.com/news/articles/2022-03-05/saudi-arabia-lifts-most-covid-19-restrictions-starting-today
Saudi Arabia,red,wfh,"Due to the COVID-19 pandemic, the governments of the United Arab Emirates (“UAE”), the Kingdom of Saudi Arabia (“KSA”) and Qatar have implemented a series of health and safety measures to ensure the well-being of their countries and reduce the spread of COVID-19. One of the main steps taken is to require working from home instead of going to the office.",https://www.mondaq.com/health-safety/1158048/the-new-normal-on-site-work-in-the-uae-saudi-arabia-and-qatar
Singapore,green,lockdown,"Singapore has finally changed its COVID-19 strategy, joining some of its Southeast Asian neighbors in transitioning to ""living with the virus"". Prime Minister Lee Hsien Loong announced in a televised address that Singapore would ease most of its restrictions on the pandemic, including outdoor mask rules.",https://thediplomat.com/2022/03/singapore-announces-significant-relaxation-of-covid-19-protocols/
Singapore,green,mask,"masks are not mandatory at workplaces as Singapore eases most Covid-19 rules.It is mandatory for all over the age of 6 to wear a mask over their nose and also cover their chin in indoor settings. On the other hand, it is optional to wear a mask in outdoor settings (though it is encouraged).
",https://www.scmp.com/topics/coronavirus-singapore
Singapore,green,wfh,"All employees can now return to the workplace.Employees returning to the workplace are encouraged to self-test when they feel unwell or had recent contact with an infected person.Employers are encouraged to continue to offer flexible work arrangements (FWAs) such as telecommuting and staggered work hours. FWAs have strengthened the resilience of workplaces during the pandemic, support employees’ work-life harmony and contribute to a more engaged and productive workforce and better talent attraction and retention. For employees (and contractors and vendors) who are physically onsite at the workplace, mask wearing is required indoors.",https://www.mom.gov.sg/covid-19/requirements-for-safe-management-measures
South Korea,green,lockdown,"South Korea will drop all remaining social distancing measures next week while downgrading Covid-19 to a ""level 2"" disease and diseases such as tuberculosis and cholera.",https://www.ft.com/content/4be21b01-efd3-4f67-b353-7bad9eb33607
South Korea,green,mask,Many South Koreans are still wearing their masks even after the law mandating them was lifted,https://www.insider.com/south-koreans-still-wear-masks-after-outdoor-mask-mandate-lifts-2022-5
South Korea,green,wfh,75% of South Korean companies continue remote work plans even after the pandemic,https://www.business-standard.com/article/international/75-of-s-korean-firms-to-continue-remote-work-scheme-even-after-covid-121121600390_1.html
