Category: All categories

Week,Lockdown: (Cuba)
2020-01-26,14
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,67
2020-03-22,27
2020-03-29,27
2020-04-05,42
2020-04-12,100
2020-04-19,70
2020-04-26,41
2020-05-03,87
2020-05-10,39
2020-05-17,13
2020-05-24,25
2020-05-31,0
2020-06-07,54
2020-06-14,14
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,25
2020-08-09,24
2020-08-16,12
2020-08-23,0
2020-08-30,0
2020-09-06,26
2020-09-13,13
2020-09-20,27
2020-09-27,13
2020-10-04,13
2020-10-11,13
2020-10-18,0
2020-10-25,12
2020-11-01,9
2020-11-08,0
2020-11-15,13
2020-11-22,0
2020-11-29,12
2020-12-06,0
2020-12-13,30
2020-12-20,0
2020-12-27,40
2021-01-03,49
2021-01-10,10
2021-01-17,10
2021-01-24,20
2021-01-31,10
2021-02-07,10
2021-02-14,0
2021-02-21,10
2021-02-28,0
2021-03-07,17
2021-03-14,0
2021-03-21,18
2021-03-28,0
2021-04-04,9
2021-04-11,18
2021-04-18,9
2021-04-25,19
2021-05-02,0
2021-05-09,0
2021-05-16,9
2021-05-23,9
2021-05-30,9
2021-06-06,18
2021-06-13,0
2021-06-20,0
2021-06-27,9
2021-07-04,0
2021-07-11,26
2021-07-18,0
2021-07-25,8
2021-08-01,0
2021-08-08,16
2021-08-15,24
2021-08-22,16
2021-08-29,0
2021-09-05,16
2021-09-12,0
2021-09-19,8
2021-09-26,16
2021-10-03,0
2021-10-10,8
2021-10-17,7
2021-10-24,15
2021-10-31,15
2021-11-07,8
2021-11-14,8
2021-11-21,8
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,8
2021-12-26,0
2022-01-02,7
2022-01-09,0
2022-01-16,6
2022-01-23,0
2022-01-30,0
2022-02-06,7
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,6
2022-03-20,0
2022-03-27,7
2022-04-03,0
2022-04-10,0
