Category: All categories

Week,export: (Iran)
2021-05-02,66
2021-05-09,76
2021-05-16,61
2021-05-23,61
2021-05-30,72
2021-06-06,99
2021-06-13,76
2021-06-20,95
2021-06-27,80
2021-07-04,97
2021-07-11,79
2021-07-18,63
2021-07-25,66
2021-08-01,75
2021-08-08,64
2021-08-15,63
2021-08-22,100
2021-08-29,80
2021-09-05,63
2021-09-12,71
2021-09-19,89
2021-09-26,51
2021-10-03,80
2021-10-10,57
2021-10-17,71
2021-10-24,55
2021-10-31,57
2021-11-07,80
2021-11-14,65
2021-11-21,68
2021-11-28,83
2021-12-05,87
2021-12-12,68
2021-12-19,61
2021-12-26,60
2022-01-02,66
2022-01-09,45
2022-01-16,72
2022-01-23,52
2022-01-30,53
2022-02-06,80
2022-02-13,72
2022-02-20,60
2022-02-27,57
2022-03-06,86
2022-03-13,51
2022-03-20,32
2022-03-27,52
2022-04-03,77
2022-04-10,71
2022-04-17,61
2022-04-24,0
