Category: All categories

Week,export: (United Kingdom)
2021-05-02,66
2021-05-09,79
2021-05-16,78
2021-05-23,71
2021-05-30,64
2021-06-06,73
2021-06-13,63
2021-06-20,69
2021-06-27,68
2021-07-04,65
2021-07-11,68
2021-07-18,63
2021-07-25,68
2021-08-01,67
2021-08-08,63
2021-08-15,62
2021-08-22,65
2021-08-29,58
2021-09-05,68
2021-09-12,72
2021-09-19,73
2021-09-26,74
2021-10-03,74
2021-10-10,67
2021-10-17,70
2021-10-24,67
2021-10-31,74
2021-11-07,77
2021-11-14,80
2021-11-21,77
2021-11-28,73
2021-12-05,70
2021-12-12,72
2021-12-19,59
2021-12-26,39
2022-01-02,64
2022-01-09,79
2022-01-16,79
2022-01-23,81
2022-01-30,81
2022-02-06,80
2022-02-13,74
2022-02-20,90
2022-02-27,90
2022-03-06,100
2022-03-13,85
2022-03-20,81
2022-03-27,88
2022-04-03,75
2022-04-10,72
2022-04-17,72
2022-04-24,0
