Category: All categories

Week,export: (India)
2021-05-02,77
2021-05-09,87
2021-05-16,87
2021-05-23,85
2021-05-30,90
2021-06-06,88
2021-06-13,91
2021-06-20,87
2021-06-27,90
2021-07-04,86
2021-07-11,88
2021-07-18,79
2021-07-25,100
2021-08-01,91
2021-08-08,87
2021-08-15,87
2021-08-22,83
2021-08-29,84
2021-09-05,82
2021-09-12,80
2021-09-19,83
2021-09-26,77
2021-10-03,79
2021-10-10,68
2021-10-17,75
2021-10-24,75
2021-10-31,59
2021-11-07,75
2021-11-14,78
2021-11-21,84
2021-11-28,75
2021-12-05,77
2021-12-12,82
2021-12-19,78
2021-12-26,68
2022-01-02,77
2022-01-09,72
2022-01-16,85
2022-01-23,80
2022-01-30,86
2022-02-06,88
2022-02-13,83
2022-02-20,93
2022-02-27,87
2022-03-06,88
2022-03-13,86
2022-03-20,96
2022-03-27,92
2022-04-03,99
2022-04-10,79
2022-04-17,88
2022-04-24,0
