Category: All categories

Week,export: (Italy)
2021-05-02,63
2021-05-09,63
2021-05-16,61
2021-05-23,58
2021-05-30,59
2021-06-06,59
2021-06-13,58
2021-06-20,53
2021-06-27,54
2021-07-04,54
2021-07-11,48
2021-07-18,57
2021-07-25,54
2021-08-01,47
2021-08-08,43
2021-08-15,39
2021-08-22,42
2021-08-29,54
2021-09-05,58
2021-09-12,57
2021-09-19,63
2021-09-26,70
2021-10-03,58
2021-10-10,68
2021-10-17,64
2021-10-24,59
2021-10-31,60
2021-11-07,58
2021-11-14,63
2021-11-21,60
2021-11-28,62
2021-12-05,56
2021-12-12,68
2021-12-19,65
2021-12-26,51
2022-01-02,60
2022-01-09,64
2022-01-16,75
2022-01-23,76
2022-01-30,77
2022-02-06,83
2022-02-13,72
2022-02-20,85
2022-02-27,91
2022-03-06,100
2022-03-13,86
2022-03-20,80
2022-03-27,85
2022-04-03,86
2022-04-10,72
2022-04-17,71
2022-04-24,0
