Category: All categories

Week,export: (Turkey)
2021-05-02,66
2021-05-09,72
2021-05-16,72
2021-05-23,76
2021-05-30,82
2021-06-06,70
2021-06-13,77
2021-06-20,94
2021-06-27,83
2021-07-04,81
2021-07-11,73
2021-07-18,42
2021-07-25,73
2021-08-01,80
2021-08-08,94
2021-08-15,82
2021-08-22,74
2021-08-29,73
2021-09-05,79
2021-09-12,100
2021-09-19,83
2021-09-26,86
2021-10-03,82
2021-10-10,84
2021-10-17,88
2021-10-24,75
2021-10-31,96
2021-11-07,80
2021-11-14,67
2021-11-21,81
2021-11-28,87
2021-12-05,82
2021-12-12,76
2021-12-19,73
2021-12-26,64
2022-01-02,78
2022-01-09,69
2022-01-16,76
2022-01-23,77
2022-01-30,68
2022-02-06,86
2022-02-13,84
2022-02-20,73
2022-02-27,86
2022-03-06,82
2022-03-13,77
2022-03-20,84
2022-03-27,83
2022-04-03,89
2022-04-10,78
2022-04-17,81
2022-04-24,0
