Category: All categories

Week,export: (Poland)
2021-05-02,74
2021-05-09,78
2021-05-16,71
2021-05-23,74
2021-05-30,60
2021-06-06,75
2021-06-13,76
2021-06-20,64
2021-06-27,67
2021-07-04,48
2021-07-11,81
2021-07-18,71
2021-07-25,79
2021-08-01,55
2021-08-08,72
2021-08-15,55
2021-08-22,73
2021-08-29,77
2021-09-05,67
2021-09-12,71
2021-09-19,71
2021-09-26,76
2021-10-03,68
2021-10-10,87
2021-10-17,73
2021-10-24,81
2021-10-31,70
2021-11-07,62
2021-11-14,74
2021-11-21,73
2021-11-28,79
2021-12-05,81
2021-12-12,79
2021-12-19,73
2021-12-26,65
2022-01-02,75
2022-01-09,94
2022-01-16,98
2022-01-23,100
2022-01-30,87
2022-02-06,90
2022-02-13,94
2022-02-20,93
2022-02-27,99
2022-03-06,94
2022-03-13,94
2022-03-20,89
2022-03-27,91
2022-04-03,98
2022-04-10,88
2022-04-17,75
2022-04-24,0
