Category: All categories

Week,export: (France)
2021-05-02,77
2021-05-09,64
2021-05-16,73
2021-05-23,66
2021-05-30,74
2021-06-06,75
2021-06-13,72
2021-06-20,68
2021-06-27,64
2021-07-04,67
2021-07-11,61
2021-07-18,68
2021-07-25,63
2021-08-01,55
2021-08-08,53
2021-08-15,51
2021-08-22,65
2021-08-29,68
2021-09-05,74
2021-09-12,75
2021-09-19,79
2021-09-26,76
2021-10-03,76
2021-10-10,72
2021-10-17,85
2021-10-24,80
2021-10-31,76
2021-11-07,77
2021-11-14,80
2021-11-21,79
2021-11-28,80
2021-12-05,94
2021-12-12,76
2021-12-19,59
2021-12-26,54
2022-01-02,81
2022-01-09,89
2022-01-16,92
2022-01-23,95
2022-01-30,100
2022-02-06,84
2022-02-13,95
2022-02-20,93
2022-02-27,92
2022-03-06,92
2022-03-13,96
2022-03-20,93
2022-03-27,92
2022-04-03,89
2022-04-10,95
2022-04-17,73
2022-04-24,0
