Category: All categories

Week,marriage: (Cuba)
2021-05-02,19
2021-05-09,58
2021-05-16,19
2021-05-23,0
2021-05-30,19
2021-06-06,0
2021-06-13,19
2021-06-20,0
2021-06-27,18
2021-07-04,35
2021-07-11,0
2021-07-18,19
2021-07-25,35
2021-08-01,35
2021-08-08,17
2021-08-15,16
2021-08-22,48
2021-08-29,16
2021-09-05,50
2021-09-12,49
2021-09-19,33
2021-09-26,16
2021-10-03,100
2021-10-10,32
2021-10-17,16
2021-10-24,16
2021-10-31,62
2021-11-07,16
2021-11-14,0
2021-11-21,0
2021-11-28,64
2021-12-05,15
2021-12-12,15
2021-12-19,17
2021-12-26,54
2022-01-02,15
2022-01-09,13
2022-01-16,0
2022-01-23,28
2022-01-30,0
2022-02-06,15
2022-02-13,28
2022-02-20,0
2022-02-27,14
2022-03-06,14
2022-03-13,0
2022-03-20,0
2022-03-27,73
2022-04-03,0
2022-04-10,14
2022-04-17,14
2022-04-24,0
