Category: All categories

Week,marriage: (Spain)
2021-05-02,39
2021-05-09,52
2021-05-16,49
2021-05-23,49
2021-05-30,51
2021-06-06,47
2021-06-13,39
2021-06-20,44
2021-06-27,41
2021-07-04,50
2021-07-11,65
2021-07-18,61
2021-07-25,55
2021-08-01,58
2021-08-08,48
2021-08-15,70
2021-08-22,55
2021-08-29,61
2021-09-05,54
2021-09-12,77
2021-09-19,71
2021-09-26,61
2021-10-03,54
2021-10-10,67
2021-10-17,74
2021-10-24,59
2021-10-31,67
2021-11-07,53
2021-11-14,68
2021-11-21,49
2021-11-28,58
2021-12-05,58
2021-12-12,71
2021-12-19,66
2021-12-26,72
2022-01-02,85
2022-01-09,59
2022-01-16,65
2022-01-23,57
2022-01-30,54
2022-02-06,69
2022-02-13,87
2022-02-20,77
2022-02-27,89
2022-03-06,66
2022-03-13,55
2022-03-20,94
2022-03-27,100
2022-04-03,80
2022-04-10,91
2022-04-17,79
2022-04-24,0
