Category: All categories

Week,marriage: (Singapore)
2021-05-02,55
2021-05-09,64
2021-05-16,45
2021-05-23,59
2021-05-30,56
2021-06-06,72
2021-06-13,59
2021-06-20,59
2021-06-27,61
2021-07-04,61
2021-07-11,63
2021-07-18,72
2021-07-25,75
2021-08-01,72
2021-08-08,90
2021-08-15,61
2021-08-22,61
2021-08-29,65
2021-09-05,58
2021-09-12,65
2021-09-19,64
2021-09-26,64
2021-10-03,63
2021-10-10,65
2021-10-17,62
2021-10-24,58
2021-10-31,65
2021-11-07,71
2021-11-14,66
2021-11-21,67
2021-11-28,52
2021-12-05,55
2021-12-12,74
2021-12-19,56
2021-12-26,59
2022-01-02,64
2022-01-09,68
2022-01-16,60
2022-01-23,61
2022-01-30,73
2022-02-06,73
2022-02-13,69
2022-02-20,75
2022-02-27,100
2022-03-06,86
2022-03-13,88
2022-03-20,82
2022-03-27,96
2022-04-03,78
2022-04-10,90
2022-04-17,76
2022-04-24,0
