Category: All categories

Week,marriage: (Worldwide)
2021-05-02,77
2021-05-09,77
2021-05-16,78
2021-05-23,75
2021-05-30,77
2021-06-06,75
2021-06-13,75
2021-06-20,74
2021-06-27,75
2021-07-04,76
2021-07-11,76
2021-07-18,74
2021-07-25,71
2021-08-01,70
2021-08-08,74
2021-08-15,71
2021-08-22,72
2021-08-29,69
2021-09-05,69
2021-09-12,74
2021-09-19,73
2021-09-26,72
2021-10-03,71
2021-10-10,77
2021-10-17,74
2021-10-24,71
2021-10-31,69
2021-11-07,78
2021-11-14,80
2021-11-21,77
2021-11-28,79
2021-12-05,100
2021-12-12,83
2021-12-19,71
2021-12-26,74
2022-01-02,72
2022-01-09,72
2022-01-16,75
2022-01-23,84
2022-01-30,82
2022-02-06,89
2022-02-13,86
2022-02-20,83
2022-02-27,85
2022-03-06,80
2022-03-13,75
2022-03-20,84
2022-03-27,88
2022-04-03,88
2022-04-10,90
2022-04-17,94
2022-04-24,0
