Category: All categories

Week,marriage: (India)
2021-05-02,60
2021-05-09,60
2021-05-16,61
2021-05-23,62
2021-05-30,59
2021-06-06,58
2021-06-13,54
2021-06-20,52
2021-06-27,55
2021-07-04,51
2021-07-11,47
2021-07-18,41
2021-07-25,41
2021-08-01,38
2021-08-08,41
2021-08-15,43
2021-08-22,45
2021-08-29,41
2021-09-05,40
2021-09-12,40
2021-09-19,37
2021-09-26,36
2021-10-03,36
2021-10-10,40
2021-10-17,43
2021-10-24,42
2021-10-31,41
2021-11-07,55
2021-11-14,62
2021-11-21,65
2021-11-28,65
2021-12-05,100
2021-12-12,74
2021-12-19,52
2021-12-26,44
2022-01-02,43
2022-01-09,41
2022-01-16,52
2022-01-23,60
2022-01-30,57
2022-02-06,63
2022-02-13,61
2022-02-20,54
2022-02-27,61
2022-03-06,49
2022-03-13,44
2022-03-20,43
2022-03-27,42
2022-04-03,46
2022-04-10,60
2022-04-17,66
2022-04-24,0
