Category: All categories

Week,marriage: (Germany)
2021-05-02,67
2021-05-09,66
2021-05-16,60
2021-05-23,93
2021-05-30,70
2021-06-06,56
2021-06-13,54
2021-06-20,71
2021-06-27,59
2021-07-04,68
2021-07-11,70
2021-07-18,74
2021-07-25,69
2021-08-01,67
2021-08-08,71
2021-08-15,63
2021-08-22,77
2021-08-29,70
2021-09-05,76
2021-09-12,82
2021-09-19,60
2021-09-26,62
2021-10-03,64
2021-10-10,72
2021-10-17,67
2021-10-24,63
2021-10-31,65
2021-11-07,66
2021-11-14,79
2021-11-21,76
2021-11-28,61
2021-12-05,76
2021-12-12,77
2021-12-19,86
2021-12-26,88
2022-01-02,99
2022-01-09,82
2022-01-16,78
2022-01-23,85
2022-01-30,95
2022-02-06,87
2022-02-13,82
2022-02-20,69
2022-02-27,64
2022-03-06,71
2022-03-13,84
2022-03-20,84
2022-03-27,94
2022-04-03,83
2022-04-10,100
2022-04-17,94
2022-04-24,0
